SUB,SEX,CUE,DAY,SUCCESS,P_errors,NC_errors
1,M,R,1,3,0,0
3,M,R,1,2,0,1
5,M,Y,1,2,1,1
7,M,Y,1,1,3,0
9,M,R,1,3,2,0
11,M,R,1,3,1,0
13,M,Y,1,1,2,1
15,M,Y,1,1,3,0
17,M,R,1,3,3,0
19,M,R,1,3,2,0
21,M,Y,1,0,3,2
23,M,Y,1,2,2,0
1,M,R,2,1,1,1
3,M,R,2,2,0,1
5,M,Y,2,1,2,1
7,M,Y,2,2,1,0
9,M,R,2,2,0,1
11,M,R,2,1,0,2
13,M,Y,2,0,1,2
15,M,Y,2,0,1,2
17,M,R,2,3,1,0
19,M,R,2,3,2,0
21,M,Y,2,0,1,2
23,M,Y,2,0,1,2
1,M,R,3,2,2,0
3,M,R,3,2,2,0
5,M,Y,3,0,2,2
7,M,Y,3,1,3,1
9,M,R,3,0,0,3
11,M,R,3,1,0,2
13,M,Y,3,0,0,3
15,M,Y,3,0,0,3
17,M,R,3,3,0,0
19,M,R,3,2,1,1
21,M,Y,3,1,1,1
23,M,Y,3,0,3,1
1,M,R,4,2,2,0
3,M,R,4,1,5,0
5,M,Y,4,0,1,2
7,M,Y,4,1,4,0
9,M,R,4,0,2,2
11,M,R,4,3,2,0
13,M,Y,4,0,2,2
15,M,Y,4,1,0,2
17,M,R,4,1,3,0
19,M,R,4,1,6,0
21,M,Y,4,2,2,0
23,M,Y,4,2,4,0
1,M,R,5,2,0,1
3,M,R,5,2,0,1
5,M,Y,5,0,2,2
7,M,Y,5,0,2,1
9,M,R,5,1,0,2
11,M,R,5,2,0,1
13,M,Y,5,0,1,2
15,M,Y,5,2,0,1
17,M,R,5,2,1,0
19,M,R,5,2,3,0
21,M,Y,5,2,1,0
23,M,Y,5,1,1,1
1,M,R,6,3,1,0
3,M,R,6,1,0,2
5,M,Y,6,1,0,2
7,M,Y,6,1,5,0
9,M,R,6,2,1,0
11,M,R,6,2,0,1
13,M,Y,6,0,0,3
15,M,Y,6,0,0,3
17,M,R,6,1,2,1
19,M,R,6,1,4,0
21,M,Y,6,1,1,1
23,M,Y,6,0,2,1
1,M,R,7,2,2,0
3,M,R,7,3,0,0
5,M,Y,7,0,0,3
7,M,Y,7,3,0,0
9,M,R,7,1,0,2
11,M,R,7,1,2,2
13,M,Y,7,2,0,1
15,M,Y,7,2,0,1
17,M,R,7,0,2,1
19,M,R,7,1,1,2
21,M,Y,7,0,1,2
23,M,Y,7,1,3,0
1,M,R,8,3,1,0
3,M,R,8,3,0,0
5,M,Y,8,0,2,1
7,M,Y,8,1,2,1
9,M,R,8,2,1,1
11,M,R,8,1,1,1
13,M,Y,8,1,1,1
15,M,Y,8,1,0,2
17,M,R,8,2,4,0
19,M,R,8,2,1,0
21,M,Y,8,2,3,0
23,M,Y,8,3,5,0
1,M,R,9,3,1,0
3,M,R,9,3,1,0
5,M,Y,9,2,5,0
7,M,Y,9,3,3,0
9,M,R,9,3,0,0
11,M,R,9,3,1,0
13,M,Y,9,2,1,1
15,M,Y,9,2,3,0
17,M,R,9,3,0,0
19,M,R,9,3,0,0
21,M,Y,9,2,2,0
23,M,Y,9,3,1,0
1,M,R,10,3,0,0
3,M,R,10,3,1,0
5,M,Y,10,1,4,0
7,M,Y,10,3,0,0
9,M,R,10,2,0,1
11,M,R,10,2,8,0
13,M,Y,10,1,2,1
15,M,Y,10,3,0,0
17,M,R,10,2,7,0
19,M,R,10,2,3,0
21,M,Y,10,1,7,0
23,M,Y,10,2,5,0
