SUB,SEX,DAY,SUCCESS,P_errors,NC_errors
1,M,1,0,2,1
2,M,1,1,3,1
3,F,1,0,2,1
4,F,1,0,0,0
5,M,1,0,2,1
6,M,1,0,1,2
7,F,1,1,0,0
8,F,1,1,1,0
10,M,1,2,2,0
11,F,1,0,0,2
12,F,1,2,3,0
1,M,2,0,0,2
2,M,2,0,5,0
3,F,2,0,0,1
4,F,2,0,0,1
5,M,2,1,4,1
6,M,2,1,1,1
7,F,2,0,2,2
8,F,2,1,3,0
10,M,2,1,0,0
11,F,2,0,0,3
12,F,2,0,5,0
1,M,3,0,0,3
2,M,3,1,0,1
3,F,3,0,0,1
4,F,3,0,1,2
5,M,3,2,2,0
6,M,3,2,0,1
7,F,3,1,0,2
8,F,3,2,1,0
10,M,3,0,0,3
11,F,3,0,0,3
12,F,3,3,0,0
1,M,4,0,2,1
2,M,4,2,1,0
3,F,4,0,0,2
4,F,4,1,0,2
5,M,4,2,1,0
6,M,4,1,0,1
7,F,4,0,1,2
8,F,4,3,0,0
10,M,4,1,0,1
11,F,4,1,0,1
12,F,4,2,1,0
1,M,5,0,0,2
2,M,5,0,2,1
3,F,5,0,0,0
4,F,5,1,0,2
5,M,5,2,1,0
6,M,5,0,1,2
7,F,5,1,0,0
8,F,5,2,1,0
10,M,5,3,0,0
11,F,5,1,0,2
12,F,5,2,1,0
1,M,6,1,2,0
2,M,6,2,2,0
3,F,6,1,2,0
4,F,6,2,0,0
5,M,6,0,3,0
6,M,6,0,1,0
7,F,6,0,1,1
8,F,6,2,1,0
10,M,6,0,2,1
11,F,6,0,1,2
12,F,6,2,1,0
1,M,7,3,0,0
2,M,7,1,6,0
3,F,7,1,2,0
4,F,7,1,2,0
5,M,7,2,2,0
6,M,7,0,1,1
7,F,7,1,1,0
8,F,7,1,5,0
10,M,7,2,2,0
11,F,7,1,2,0
12,F,7,0,4,0
1,M,8,1,2,0
2,M,8,1,4,0
3,F,8,1,0,0
4,F,8,1,1,0
5,M,8,2,2,0
6,M,8,1,0,1
7,F,8,1,0,0
8,F,8,2,3,0
10,M,8,2,3,0
11,F,8,0,3,0
12,F,8,0,0,0
1,M,9,3,1,0
2,M,9,2,2,0
3,F,9,1,1,0
4,F,9,2,0,0
5,M,9,1,3,0
6,M,9,1,0,0
7,F,9,2,2,0
8,F,9,2,2,0
10,M,9,0,1,0
11,F,9,1,2,0
12,F,9,0,0,0
1,M,10,1,4,0
2,M,10,3,1,0
3,F,10,1,1,0
4,F,10,1,2,0
5,M,10,2,3,0
6,M,10,1,3,1
7,F,10,3,0,0
8,F,10,2,5,0
10,M,10,2,2,0
11,F,10,3,0,0
12,F,10,0,0,0
